"Team.1","Team.2","Winner","Margin.of.runs","Ground","Match.Date","no.of.sixes"
"Kings XI","Super Kings","Super Kings",33,"Mohali","Apr 19, 2008",20
"Super Kings","Mum Indians","Super Kings",6,"Chennai","Apr 23, 2008",14
"Super Kings","KKR","Super Kings",14,"Chennai","Apr 26, 2008",18
"RCB","Super Kings","Super Kings",13,"Bengaluru","Apr 28, 2008",20
"Super Kings","Daredevils","Daredevils",14,"Chennai","May 2, 2008",21
"Royals","Super Kings","Royals",14,"Jaipur","May 4, 2008",17
"Super Kings","Deccan","Deccan",14,"Chennai","May 6, 2008",28
"Daredevils","Super Kings","Super Kings",14,"Delhi","May 8, 2008",20
"Super Kings","Kings XI","Super Kings",18,"Chennai","May 10, 2008",45
"Mum Indians","Super Kings","Mum Indians",14,"Mumbai","May 14, 2008",20
"KKR","Super Kings","Super Kings",3,"Kolkata","May 18, 2008",2
"Super Kings","RCB","RCB",14,"Chennai","May 21, 2008",17
"Super Kings","Royals","Royals",10,"Chennai","May 24, 2008",20
"Deccan","Super Kings","Super Kings",14,"Hyderabad (Deccan)","May 27, 2008",21
"Super Kings","Kings XI","Super Kings",14,"Mumbai","May 31, 2008",4
"Super Kings","Royals","Royals",14,"Mumbai","Jun 1, 2008",17
"Super Kings","Mum Indians","Mum Indians",19,"Cape Town","Apr 18, 2009",5
"RCB","Super Kings","Super Kings",92,"Port Elizabeth","Apr 20, 2009",21
"Super Kings","Daredevils","Daredevils",9,"Durban","Apr 23, 2009",9
"Super Kings","Deccan","Deccan",6,"Durban","Apr 27, 2009",24
"Super Kings","Royals","Super Kings",38,"Centurion","Apr 30, 2009",5
"Super Kings","Daredevils","Super Kings",18,"Johannesburg","May 2, 2009",17
"Super Kings","Deccan","Super Kings",78,"East London","May 4, 2009",5
"Super Kings","Kings XI","Super Kings",12,"Centurion","May 7, 2009",14
"Super Kings","Royals","Super Kings",14,"Kimberley","May 9, 2009",4
"RCB","Super Kings","RCB",14,"Durban","May 14, 2009",20
"Super Kings","Mum Indians","Super Kings",14,"Port Elizabeth","May 16, 2009",20
"Super Kings","KKR","KKR",14,"Centurion","May 18, 2009",21
"Super Kings","Kings XI","Super Kings",24,"Durban","May 20, 2009",20
"Super Kings","RCB","RCB",14,"Johannesburg","May 23, 2009",21
"Super Kings","Deccan","Deccan",31,"Chennai","Mar 14, 2010",20
"KKR","Super Kings","Super Kings",55,"Kolkata","Mar 16, 2010",21
"Daredevils","Super Kings","Super Kings",14,"Delhi","Mar 19, 2010",20
"Super Kings","Kings XI","tied",14,"Chennai","Mar 21, 2010",17
"RCB","Super Kings","RCB",36,"Bengaluru","Mar 23, 2010",18
"Mum Indians","Super Kings","Mum Indians",14,"Mumbai (BS)","Mar 25, 2010",20
"Royals","Super Kings","Royals",17,"Ahmedabad","Mar 28, 2010",14
"Super Kings","RCB","Super Kings",14,"Chennai","Mar 31, 2010",17
"Super Kings","Royals","Super Kings",23,"Chennai","Apr 3, 2010",15
"Super Kings","Mum Indians","Super Kings",24,"Chennai","Apr 6, 2010",14
"Deccan","Super Kings","Deccan",14,"Nagpur","Apr 10, 2010",6
"Super Kings","KKR","Super Kings",14,"Chennai","Apr 13, 2010",20
"Super Kings","Daredevils","Daredevils",14,"Chennai","Apr 15, 2010",6
"Kings XI","Super Kings","Super Kings",14,"Dharamsala","Apr 18, 2010",20
"Super Kings","Deccan","Super Kings",38,"Mumbai","Apr 22, 2010",24
"Mum Indians","Super Kings","Super Kings",22,"Mumbai","Apr 25, 2010",20
"Central D","Super Kings","Super Kings",57,"Durban","Sep 11, 2010",25
"Super Kings","Wayamba","Super Kings",97,"Centurion","Sep 15, 2010",20
"Super Kings","Victoria","tied",14,"Port Elizabeth","Sep 18, 2010",21
"Super Kings","Deccan","Super Kings",10,"Port Elizabeth","Sep 22, 2010",16
"Super Kings","RCB","Super Kings",52,"Durban","Sep 24, 2010",19
"Deccan","Super Kings","Super Kings",14,"Johannesburg","Sep 26, 2010",20
"Super Kings","KKR","Super Kings",2,"Chennai","Apr 8, 2011",27
"Kings XI","Super Kings","Kings XI",14,"Mohali","Apr 13, 2011",28
"Super Kings","RCB","Super Kings",21,"Chennai","Apr 16, 2011",22
"Kochi","Super Kings","Kochi",14,"Kochi","Apr 18, 2011",20
"Mum Indians","Super Kings","Mum Indians",8,"Mumbai","Apr 22, 2011",29
"Super Kings","Deccan","Super Kings",25,"Chennai","Apr 25, 2011",18
"Warriors","Super Kings","Super Kings",14,"Mumbai","Apr 27, 2011",20
"Super Kings","Deccan","Super Kings",19,"Chennai","May 1, 2011",20
"Super Kings","Royals","Super Kings",14,"Chennai","May 4, 2011",14
"KKR","Super Kings","KKR",10,"Kolkata","May 7, 2011",20
"Royals","Super Kings","Super Kings",63,"Jaipur","May 9, 2011",18
"Super Kings","Daredevils","Super Kings",18,"Chennai","May 12, 2011",16
"Super Kings","Kochi","Super Kings",11,"Chennai","May 18, 2011",17
"RCB","Super Kings","RCB",14,"Bengaluru","May 22, 2011",14
"Super Kings","RCB","Super Kings",14,"Mumbai","May 24, 2011",20
"Super Kings","RCB","Super Kings",58,"Chennai","May 28, 2011",14
"Super Kings","Mum Indians","Mum Indians",14,"Chennai","Sep 24, 2011",20
"Super Kings","Cape Cobras","Super Kings",14,"Chennai","Sep 28, 2011",21
"Super Kings","Trinidad & T","Trinidad & T",12,"Chennai","Oct 2, 2011",20
"Super Kings","NSW","NSW",46,"Chennai","Oct 4, 2011",21
"Super Kings","Mum Indians","Mum Indians",14,"Chennai","Apr 4, 2012",20
"Tuskers","Super Kings","Super Kings",74,"Visakhapatnam","Apr 7, 2012",20
"Daredevils","Super Kings","Daredevils",14,"Delhi","Apr 10, 2012",18
"Super Kings","RCB","Super Kings",14,"Chennai","Apr 12, 2012",17
"Warriors","Super Kings","Warriors",14,"Pune","Apr 14, 2012",19
